story_id	panel	name	problem	hero	layout	interaction	density	reuse
B22	browser	Utility panel shelf	PanelsのAsset tagging / Notes / Export notesが、作るカードと同じに見えて役割が伝わらない。	hero制作中に「整理・記録・書き出し確認」の補助を必要な時だけ呼び出せる。	Panelsタブは左railを残しつつ、右を3枚の横長 `button` shelfにする。各panelはglyph、panel名、短い用途を`row!`で横並びにし、Media/Effects/Createのカードより落ち着いた面にする。	card clickで選択、double-clickまたはbutton pressで将来のpanel handoff候補。未接続のPanelは選択だけにし、操作可能な顔を出さない。	sparse。3枚を同時表示し、余白で「補助面」を表現する。	`PANELS_PREVIEW`、`PreviewTag`、`PreviewScope`、既存card frameを再利用。Notes/Tagging/Exportの実体は各ownerへ委託し、Browserに内容の第二状態を作らない。
B23	browser	Shot-prompt notes	heroを作る理由や一場面の狙いが、編集途中で消える。	Notesを「便利なメモ」ではなく、heroの一場面を始める動機の短いpromptとして扱う。	Panels > Notesで、上に選択中のNotesカードを大きな`container`、下にAsset tagging/Export notesを小さなbutton shelf。本文編集欄はこのBrowser storyには置かない。	Notesカードdouble-clickはNotes ownerへのhandoff候補、Media選択は別tabのまま保持。Browser内で入力を確定する操作は増やさない。	sparse。主役1枚＋補助2枚、文章は2行ellipsisで止める。	既存Panelsカード、tab state、ellipsis、tokensを再利用。ノート本文と保存はDocument/Notes ownerへ委託し、Browserにtext_inputを新設しない。
B24	browser	Export readiness panel	heroが完成したつもりでも、書き出し時に必要な確認をどこで見るか分からない。	表現の勢いを保ったまま、完成したheroを外へ出す最後の不安を減らす。	Panels > ExportでExport notesをfeatured `container`、下にNotesとAsset tagging。featured内はstatusの読み取り専用`row!`候補（format / range / audio）とし、編集欄は置かない。	Export notesカードからExport paneへhandoff。Browserは `SelectTab` とカード選択だけを行い、実際のExport操作・進捗・再開はExport ownerへ渡す。	sparse。3枚＋確認行3つ、警告があるfixtureではstatus行だけ強調する。	`PANELS_PREVIEW`、既存tab、`container`/`row`を再利用。format/range/audioの真実はExport pane/Documentへ委託し、Browserに複製しない。
B25	browser	Asset tagging gate	Mediaが増えた後、hero候補の整理を始める入口が見えない。	大量素材からheroの候補群を再発見できるようにし、探す時間を制作時間へ戻す。	Panels > Asset taggingをfeaturedにし、上部に「current media selection」のmini `container`、下部にMediaへ戻る`button`候補を置く。タグ一覧そのものは描かない。	Asset taggingカードのdouble-clickはTagging ownerへのhandoff候補、Media buttonは`SelectTab(Media)`。タグ未接続時はcard選択だけで止める。	sparse。Panelカード3枚と選択mini 1枚、素材量はMedia側のstoryで別に見せる。	既存`Asset tagging`カード、`SelectTab`、Media選択projectionを再利用。タグ属性・favorite・collectionはstore/Filesystemへ委託し、見た目だけのタグ編集をスクラッチしない。
B26	browser	Panels split view	Panelsの補助機能を開くたびに、どのPanelを選んだかと戻り先が消える。	hero制作の流れを遮らず、補助Panelを一時的に見てすぐ主役の作業へ戻れる。	左を既存Panels rail＋カード棚、右を選択中Panelのread-only `container` に分ける `row!`。選択がない時は「Choose a panel」の最小text、Panelsカードは常に左の主役。	card clickで右面を更新、double-clickはowner handoff候補、タブ切替で右面をクリア。戻る操作は既存tab buttonへ畳む。	balanced。左3枚＋右1面、右の文章は最大4行でscrollしない。	`PreviewScope`、`CardKey::Preview`、既存tab遷移、Iced `row`/`container`を再利用。Panel内容の正本は各paneへ委託し、Browserに汎用detail routerを作らない。
B27	browser	Role rail browser	上部の4タブは役割を切り替えるが、狭いBrowserでは今どの制作段階かが弱い。	Media→Create→Effects→Panelsをhero制作の流れとして見せ、次の意図を選びやすくする。	`tab_band_view`を横帯から細い左のrole railへ置き換える候補。左からMedia/Effects/Create/Panelsの`button`、右に現行rail＋catalogを`column!`で置く。	role buttonは既存`SelectTab`、各tab内部のscope/filter/card messageは不変。active roleは既存active色とunderline相当の面差で示す。	balanced。横幅を節約し、カードgrid 2〜4列を保つ。狭幅・広幅の2 storyを比較する。	`LibraryTab`、`SelectTab`、既存rail/catalog、tokensを再利用。タブの意味や状態所有は変えず、差分はレイアウトの薄い自前組み替えだけにする。
B28	browser	Focus creation mode	Browserのrail・filter・4タブが、heroの一手を選ぶ時には視界を狭める。	一時的にカードを大きくして、作る・足すの決断をモチベーションの高い状態で行う。	`container` の上に小さなFocus `button`、有効時はrailを`Length::Shrink`相当に畳み、右catalogをFill。タブ帯は残し、カードthumbと名前を主役にする。	Focus buttonはpane-local表示状態の候補、tab/scope/query/card actionは不変。Escapeまたは同じbuttonで通常layoutへ戻す。	sparse。Focusはカード2〜6枚、通常時は既存Grid/List。大量素材ではFocusを解除して検索へ戻る。	既存catalog、`ViewMode`、search/filter、tokensのFill/spacingを再利用。Focus flagだけを一時状態へ薄く足し、Document/Sessionや別windowを作らない。
B29	browser	Selection handoff ribbon	Browserで選んだ素材・作成カード・effectカードが、どの外部対象へ渡るか見えない。	hero制作の「選ぶ→置く→足す」を一枚のhandoff ribbonで認識できるようにする。	4タブ帯の直下に高さ1行の`container` ribbon、下は現行のrail＋catalog。ribbonは `text` で選択カード名、target、次の意味を示し、catalogの主役を奪わない。	Media選択はPreview/Replace、CreateはCreateFromCard、EffectsはApply/Add、Panelsはowner handoff候補を既存Messageへ接続。未選択・複数選択は説明だけにする。	balanced。ribbonは1〜2行、カード量は各tabの現行上限を維持する。	`selected_cards`、`single_selected_layer`、`SelectionAction`、既存typed Messageを再利用。targetの正本と副作用はShell/Document/各ownerへ委託し、ribbonはprojectionに限定する。
B30	browser	Hero recipe lane	4タブがそれぞれ便利でも、heroを作る一連の因果が横断して見えない。	Mediaの主役候補、Createの形、Effectsの一手、Panelsの確認を一つの制作レシピとして思い出せる。	Browser上部に薄い `row!` の4セル（Media / Create / Effects / Panels）を置き、各セルは現在選択の小さなglyph＋nameだけを表示。下は選択中tabの現行 `rail + filter shelf + scrollable catalog` をそのまま主面にする。	4セルのbuttonは既存`SelectTab`、カード操作は各tabの既存Message。セルは次のtabへ移るだけで、自動作成・自動適用・自動書出しは行わない。	balanced。recipe laneは4セル固定、下部カードはGrid/Listと検索で量を受ける。未選択セルは空glyphではなく短いrole labelだけにする。	`LibraryTab`、tab band、選択projection、既存catalog、tokensを再利用。横断recipeの保存や履歴は作らず、各paneの意味とDocument/Sessionの正本へ委託する。
I01	inspector	Hero Transform Stack	** Position、Scale、Rotation、Opacity が同じ重さで並び、最初の一手が見えない問題を解決する。	** 画面中央の主役をまず置き、拡大し、傾けるための「最初の10秒」を支える。Position と Scale を hero 操作、Opacity 以下を仕上げとして読む。	** `column![ident_band, container(column![hero_rows]), rule, scrollable(rest)]`。hero card は Position/Scale の2行を `row![label, value cells, key]` で大きくし、下に Rotation/Opacity/Anchor を標準行で置く。`PROP / VALUE / KEY` は hero card の上に小さく残す。	** value cell の click は `text_input` focus、Enter は `FieldSubmit`。cell の press→window `PointerMoved` は scrub、右端の菱形は `KeyPressed`。ident band の名前入力は常時 visible。	** 標準幅320px、hero row 36px、通常 row 28px、section gap 12px。狭幅では hero card の補助説明を消し、値と Key を残す。	** `SelectionProjection.transform`、`transform_row`、`FieldDraft`、`KeyCellState`、既存 tokens を再利用する。新規なのは hero 2行を囲う `container` と背景階層だけで、編集経路は scratch しない。
I02	inspector	Axis Matrix	** Position/Scale の X・Y・Z が縦に散り、軸の対応関係と同時編集の意図が読み取りにくい問題を解決する。	** 3D 的な奥行きや正確な拡大率を作るとき、三軸の差分を一目で比較できる制作台になる。	"** `column![section_header(""TRANSFORM""), row![blank, X, Y, Z, KEY], matrix_row(Position), matrix_row(Scale), scalar_rows]`。Position と Scale は各 `ComponentSlot` を4列の grid 風 `row` にし、Rotation/Opacity は通常の一列へ落とす。`container` で matrix 全体を薄く囲う。"	** 各軸の cell は同じ `FieldInput/FieldSubmit` に入り、Position の Key は property 一本に対して一つだけ右端に置く。X/Y の片方を変更しても既存の Vec2 property を書き、Z は `POSITION_Z` の別入口として label を分ける。	** 幅340px以上、軸 cell 54px、label 62px、Key 24px。幅が足りない場合は X/Y/Z を縦列へ戻す responsive story を別状態として見せる。	** `RowValue::Vector` と `ComponentSlot` の意味をそのまま使い、grid 用の表示 adapter だけを自前にする。軸を別 property に再設計したり、Z を Vec2 に混ぜたりしない。
I03	inspector	Stage-Linked Coordinates	** Inspector の数値編集が Stage 上の見た目から切り離され、「値を変えた結果」が予想できない問題を解決する。	** 画面上の主役を動かしながら、現在値・基準値・変更方向を読み、ポスター的な構図を詰める。	"** 上部に `container(row![""LIVE"", current frame, layer label])` のライブ帯、その下に Position/Scale の2×2 hero controls、下段に通常 section。値 cell の左側に小さな方向 glyph を置き、Stage の preview を Inspector 内に複製しない。"	** 値 cell の drag-to-scrub は即時 preview、release で一つの undo。click は text entry。`tooltip` で drag 感度と Shift の fine mode を示し、Key click は現在 playhead の値を記録する。	** ライブ帯24px、hero cell32px、通常行26px。横幅300〜360pxで、長い layer 名は ellipsis、数値は右揃えにする。	** `FieldDragState`、`dragged_value`、`finish_field_drag` と Stage の既存 preview を再利用する。ライブ帯は Session の playhead read-only 表示だけで、Inspector 用の二重 preview state は作らない。
I04	inspector	Creation Command Deck	** 数値を読むだけの表に見え、hero 作成の「置く・大きくする・見せる」という順序が伝わらない問題を解決する。	** 制作動詞を上から `PLACE / FRAME / REVEAL` として提示し、素材をモチベーション映像の一枚へ変える。	** `column![ident_band, place_card(Position/Anchor), frame_card(Scale/Rotation), reveal_card(Opacity/Blend/Hidden), advanced_sections]`。各 card は小見出し、1〜2行、右端 Key の構成。カード間は `rule` ではなく余白で区切る。	** card 見出しは collapse button、row は既存の value/key 操作、Hidden は `toggler`、Blend は既存の cycle button。入口の順序だけ変え、Message の意味は変えない。	** 360px基準、card padding8px、見出し20px、row28px。折りたたみ時は見出しと現在値の summary だけを残す。	** 既存 section row と `CollapseState` の表現を再利用し、grouping と summary の表示だけを薄く足す。新しい「制作モード」状態や動詞別 store は作らない。
I05	inspector	Selection Delta Sheet	** 複数選択時に共通値・ばらつき・編集可能範囲が分からず、hero の統一感を作れない問題を解決する。	** 複数レイヤーを一つのモーション群として揃え、タイトル・装飾・背景を同じリズムへ寄せる。	** 上部に `N layers selected` と text 対象数の band。各 transform row は `common value`、不一致は `—` と薄い `mixed` badge、右端に bulk affordance。下に bulk-safe な attrs と text section を置く。	** 共通値だけを text_input/drag で編集し、不一致 cell は click で「全選択へ適用」の明示 entry を出す。Key は複数対象に同じ `KeyPressed` semantics を渡す。text は全選択が Text の時だけ editable とする。	** 300px、band32px、row28px。情報量が多いので section は最初から `scrollable`、mixed badge は8pxの文字で値を圧迫しない。	** `selection_count`、`text_layer_count`、既存 bulk projection と一括 Intent を再利用する。混在値の描画 adapter は自前にするが、単一選択用の fake layer は作らない。
I06	inspector	Narrow Focus Inspector	** 小さい dock 幅でラベル・値・Key が潰れ、どの行を触れるか分からなくなる問題を解決する。	** 画面を広く Stage に残したまま、今触る一つの数値を確実に決める。hero 作成の集中席である。	** 上部に layer 名と現在の section 名だけを固定し、`scrollable(column![one expanded section])`。row は `label` を上段、`value + key` を下段にする二段構成。隣接 section は compact disclosure にする。	** section header を button で切り替え、value cell は focus 時だけ border を強める。drag は value 全幅、Key は同じ row の右端に固定して誤タップを減らす。	** 220〜260px、label18px、editor32px、section header30px。数値の小数桁は既存 `field_decimals` に従い、フォントを縮めて詰めない。	** 既存 row の field/key semantics、`value_input_style`、scrollable を再利用する。二段 row の geometry と focus decoration のみ自前で、別 input parser は作らない。
I07	inspector	Three-State Key Rail	** Key の菱形が「キーなし」「現在時刻にキー」「別時刻に track あり」を伝えきれず、クリックの結果が怖い問題を解決する。	** 静止画を動きへ変える入口を Inspector の全 animatable row に揃え、hero の開始・中間・終端を作りやすくする。	** `column![property_header, rows]` の右端に24pxの Key rail。各 row は label/value/Key の同じ baseline、Key state は glyph + 小さな tint だけで表し、追加説明は `tooltip` に逃がす。	** `KeyCellState::Static` は click で playhead key を作成、`AtPlayhead` は click でそのキーを外し、`Between` は評価値で key を追加する。hover tooltip に3状態を表示し、double click は使わない。	** row28px、Key24px、rail の背景は section ごとに一枚。高密度でも click target は24pxを下回らない。	** `key_cell_state`、`toggled_key_track`、`KeyRow`、既存 glyph を完全再利用する。新規は rail の背景/hover 表現だけで、keyframe model や toggle semantics は scratch しない。
I08	inspector	Animated-Only Property Shelf	** property が増えると静止値の行が keyframe の発見を邪魔し、いま動いている要素へ到達できない問題を解決する。	** すでに動き始めた hero の「どの値が次の演出を決めるか」だけを見せ、モーションの調整を速くする。	** section header に `Animated only` toggler と `N animated` count。on の時は track が存在する row、off の時は全 row。animated row の Key rail は常時可視、未アニメート row は低コントラストにする。	** toggler は Session の表示状態だけを変え、Document を書かない。filtered row の value/key 操作は通常経路、off に戻してもスクロール位置は保持する。	** 280〜340px、header32px、row28px。count と toggler を同じ24px帯に置き、フィルタ説明を本文へ増やさない。	** track の有無と projection の既存 row を再利用し、filter は view-only state にする。各 section に別々の「animated」判定や property catalogue を新設しない。
