map_id	verdict	scope	canonical	meaning	problem	bundle	technical_route	technical_delegate	scratch_policy	scratch_boundary	judgment	evidence	decision_status
14	拡張	extension	Audio Preview (Here Forward)	現在時刻以降のオーディオプレビュー	現在時刻以降のオーディオプレビュー	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
15	拡張	extension	Audio Preview (Work Area)	ワークエリアのオーディオプレビュー	ワークエリアのオーディオプレビュー	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
16	採用予定	core	Audio Scrubbing	音声スクラビング	音声スクラビング	B21	上流+移植+既存構造	FFmpeg;Symphonia/Rubato/Cpal;旧motolii-audio/transport;Document/Session	許容	decode/resample/deviceは委託; scrub用のmix/PlaybackClockだけ自前	音声scrubの対話性は自前の最小mix/clockに残し、decode・resample・deviceを再発明しない	next/reference/KNOWN.md:116	技術監査済
17	拡張	extension	Audio Scrubbing	Shift+S	Shift+S	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
18	不採用		Audio Track Destination A1-A8(grouped, pattern)	Option+Command+1..Option+Command+8	Option+Command+1..Option+Command+8		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
19	拡張	extension	Auto Select/Deselect All Audio	Option+Command+F9	Option+Command+F9	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
20	拡張	extension	Auto Select/Deselect Audio A1-A8(grouped, pattern)	Option+Command+F1..Option+Command+F8	Option+Command+F1..Option+Command+F8	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
21	不採用	out-of-domain?	Automation	オートメーション	オートメーション		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
22	不採用	out-of-domain?	B-Chain Control	Bチェーンコントロール	Bチェーンコントロール		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
23	拡張	extension	Batch Fade Settings	バッチフェード設定	バッチフェード設定	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
24	不採用	out-of-domain?	Bus Assign	バスアサイン	バスアサイン		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
25	不採用	out-of-domain?	Bus Format	バスフォーマット	バスフォーマット		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
26	拡張	extension	Clear Audio In and Out	音声イン/アウト解除	音声イン/アウト解除	B18	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
27	拡張	extension	Clip Volume Down	クリップ音量ダウン	クリップ音量ダウン	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
28	拡張	extension	Clip Volume Up	クリップ音量アップ	クリップ音量アップ	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
29	拡張	extension	Decrease Audio Track Height	オーディオトラック高を縮小	オーディオトラック高を縮小	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
30	拡張	extension	Decrease Audio Tracks Height	音声トラック高縮小	音声トラック高縮小	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
31	不採用	out-of-domain?	Export Master	マスターをエクスポート	マスターをエクスポート		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
32	不採用	out-of-domain?	Fairlight Viewer	Fairlightビューア	Fairlightビューア		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
33	拡張	extension	Flatten Audio Track Layers	音声トラックレイヤーを統合	音声トラックレイヤーを統合	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
34	不採用	out-of-domain?	Import Master	マスターをインポート	マスターをインポート		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
35	拡張	extension	Increase Audio Track Height	オーディオトラック高を拡大	オーディオトラック高を拡大	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
36	拡張	extension	Increase Audio Tracks Height	音声トラック高拡大	音声トラック高拡大	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
37	不採用	out-of-domain?	Input Monitor Style	入力モニタースタイル	入力モニタースタイル		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
38	拡張	extension	Layered Audio Editing	レイヤー音声編集	レイヤー音声編集	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
39	不採用	out-of-domain?	Link Group	リンクグループ	リンクグループ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
40	拡張	extension	Lock/Unlock All Audio Tracks	Option+Shift+F9	Option+Shift+F9	B32	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
41	拡張	extension	Lock/Unlock Audio Track A1-A8(grouped, pattern)	Option+Shift+F1..Option+Shift+F8	Option+Shift+F1..Option+Shift+F8	B32	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
42	拡張	extension	Loudness normalisation	音量正規化	音量正規化	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
43	拡張	extension	Manually preview audio	オーディオを手動プレビュー	オーディオを手動プレビュー	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
44	拡張	extension	Mark Audio In	音声イン点設定	音声イン点設定	B18	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
45	拡張	extension	Mark Audio Out	音声アウト点設定	音声アウト点設定	B18	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
46	不採用	out-of-domain?	Monitoring	モニタリング	モニタリング		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
47	拡張	extension	Music	音楽ライブラリから追加	音楽ライブラリから追加	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
48	構造吸収	absorbed	Open or close Audio panel	Audioパネル開閉	pane/workspaceの表示差分が製品固有の第二状態になる	B25	既存構造	固定pane構造(next/shell/motolii-shell/src/pane_layout.rs:109-124)	不要	独立したowner・状態・検収を増やさない	因果未記入: pane/workspaceの表示差分が製品固有の第二状態になる は 固定pane構造(next/shell/motolii-shell/src/pane_layout.rs:109-124) で Browser/Stage/Inspector/Timelineの同じ4役割で制作する に到達する。active panel/workspace preset/page/maximize/dockの専用粒 は独立実装しない	next/shell/motolii-shell/src/pane_layout.rs:109-124	構造吸収から導出
49	不採用		Overlay Synced Audio File Names	同期音声ファイル名オーバーレイ	同期音声ファイル名オーバーレイ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
50	不採用	out-of-domain?	Patch Input/Output	入出力パッチ	入出力パッチ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
51	拡張	extension	Play Again	再度再生	再度再生	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
52	不採用	out-of-domain?	Presets Library	プリセットライブラリ	プリセットライブラリ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
53	拡張	extension	Preview only audio from current time	現在時刻からオーディオのみプレビュー	現在時刻からオーディオのみプレビュー	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
54	拡張	extension	Preview only audio in work area	ワークエリアのオーディオのみプレビュー	ワークエリアのオーディオのみプレビュー	B21	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
55	不採用	out-of-domain?	Remote Control Settings	リモートコントロール設定	リモートコントロール設定		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
56	不採用	out-of-domain?	Renderer Settings	レンダラー設定	レンダラー設定		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
57	拡張	extension	Select Nearest Audio Edit Point	最寄り音声編集点を選択	最寄り音声編集点を選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
58	拡張	extension	Show Audio Track Layers	音声トラックレイヤー表示	音声トラックレイヤー表示	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
59	拡張	extension	Show Clip Gain Line	クリップゲインライン表示	クリップゲインライン表示	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
60	不採用		Slip Audio	音声スリップ	音声スリップ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
61	不採用		Slip Audio One Frame Forward	Option+.	Option+.		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
62	不採用		Slip Audio One Frame Reverse	Option+,	Option+,		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
63	拡張	extension	Sound effects	効果音追加	効果音追加	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
64	不採用	out-of-domain?	Space View Scope	空間ビュースコープ	空間ビュースコープ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
65	拡張	extension	Synchronize > Audio Channels	音声チャンネルで同期	音声チャンネルで同期	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
66	不採用	out-of-domain?	Test Tones Settings	テストトーン設定	テストトーン設定		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
67	拡張	extension	Trim Audio Edits to Frame Boundaries	音声編集点をフレーム境界にトリム	音声編集点をフレーム境界にトリム	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
68	不採用	out-of-domain?	VCA Assign	VCAアサイン	VCAアサイン		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
69	拡張	extension	View Clip Info Display	クリップ情報表示	クリップ情報表示	B25	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
70	拡張	extension	Vocal isolation	ボーカル分離	ボーカル分離	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
71	不採用		Voice Cloning	音声クローン(AI)	音声クローン(AI)		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
72	拡張	extension	Voice filters	ボイスフィルター適用	ボイスフィルター適用	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
73	拡張	extension	Voiceover	ナレーション録音	ナレーション録音	B42	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
74	拡張	extension	Zoom Audio Waveform	音声波形ズーム	音声波形ズーム	B24	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
75	採用済		Add	加算	加算	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
76	拡張	extension	Alpha Add	アルファ加算	アルファ加算	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
77	拡張	extension	Classic Difference	差(クラシック)	差(クラシック)	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
78	拡張	extension	Cycle through blending modes	ブレンドモードを巡回	ブレンドモードを巡回	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
79	拡張	extension	Dancing Dissolve	ダンシングディゾルブ	ダンシングディゾルブ	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
80	採用済		Darken	比較(暗)	比較(暗)	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
81	採用済		Difference	差	差	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
82	拡張	extension	Dissolve	ディゾルブ	ディゾルブ	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
83	拡張	extension	Divide	除算	除算	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
84	採用済		Exclusion	除外	除外	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
85	採用済		Hard Light	ハードライト	ハードライト	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
86	拡張	extension	Hard Mix	ハードミックス	ハードミックス	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
87	拡張	extension	Hue	色相	色相	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
88	採用済		Lighten	比較(明)	比較(明)	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
89	拡張	extension	Linear Burn	焼き込み(リニア)	焼き込み(リニア)	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
90	拡張	extension	Linear Dodge	覆い焼き(リニア)	覆い焼き(リニア)	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
91	拡張	extension	Linear Light	リニアライト	リニアライト	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
92	拡張	extension	Luminescent Premul	光有りプリマル	光有りプリマル	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
93	拡張	extension	Luminosity	輝度	輝度	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
94	採用済		Multiply	乗算	乗算	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
95	拡張	extension	Next Blending Mode	次のブレンドモードへ	次のブレンドモードへ	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
96	採用済		Normal	通常	通常	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
97	採用済		Overlay	オーバーレイ	オーバーレイ	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
98	拡張	extension	Pin Light	ピンライト	ピンライト	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
99	拡張	extension	Saturation	彩度	彩度	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
100	採用済		Screen	スクリーン	スクリーン	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
101	拡張	extension	Silhouette Alpha	シルエットアルファ	シルエットアルファ	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
102	拡張	extension	Silhouette Luma	シルエット輝度	シルエット輝度	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
103	採用済		Soft Light	ソフトライト	ソフトライト	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
104	拡張	extension	Stencil Alpha	ステンシルアルファ	ステンシルアルファ	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
105	拡張	extension	Stencil Luma	ステンシル輝度	ステンシル輝度	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
106	拡張	extension	Subtract	減算	減算	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
107	拡張	extension	Vivid Light	ビビッドライト	ビビッドライト	B01	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
108	採用済		3D Layer	3Dレイヤー化	3Dレイヤー化	B17	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
109	採用予定	core	Activate and cycle Camera tools	カメラツールを巡回	カメラツールを巡回	B29	既存構造+先例	Composition.camera;Stage/gizmo;AE/Blender	抑制	tool selectionは薄いinput adapterだけ; camera stateを二重化しない	カメラツールの巡回は既存cameraとStage操作へ委託し、専用カメラ状態を増やさない	next/DECISIONS.md:123	技術監査済
110	採用済		Active Camera	アクティブカメラ視点	アクティブカメラ視点	B17	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
111	構造吸収	absorbed	Back	背面視点	3D view/gizmoのプリセットがカメラ状態を増殖させる	B17	既存構造	Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125)	不要	独立したowner・状態・検収を増やさない	因果未記入: 3D view/gizmoのプリセットがカメラ状態を増殖させる は Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125) で 同じcamera/transform結果を操作する に到達する。Front/Back/Custom Viewと個別gizmo起動 は独立実装しない	next/DECISIONS.md:123-125	構造吸収から導出
112	構造吸収	absorbed	Bottom	下視点	3D view/gizmoのプリセットがカメラ状態を増殖させる	B17	既存構造	Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125)	不要	独立したowner・状態・検収を増やさない	因果未記入: 3D view/gizmoのプリセットがカメラ状態を増殖させる は Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125) で 同じcamera/transform結果を操作する に到達する。Front/Back/Custom Viewと個別gizmo起動 は独立実装しない	next/DECISIONS.md:123-125	構造吸収から導出
113	採用予定	core	Camera…	新規カメラレイヤー	新規カメラレイヤー	B17	既存構造+先例+自前最小	Composition.camera;Lottie/AE;glam/re_renderer	許容	pose propertyの継ぎ目だけ自前; projection mathは既存cameraへ委託	向きの表現と補間の継ぎ目だけは不足しているため自前を許容し、意味と投影は先例・既存計算へ預ける	next/DECISIONS.md:229	技術監査済
114	不採用	out-of-domain?	Create Orbit Null	オービットヌル作成	オービットヌル作成		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
115	不採用	out-of-domain?	Create Stereo 3D Rig	ステレオ3Dリグ作成	ステレオ3Dリグ作成		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
116	構造吸収	absorbed	Custom View 1	カスタム視点1	3D view/gizmoのプリセットがカメラ状態を増殖させる	B17	既存構造	Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125)	不要	独立したowner・状態・検収を増やさない	因果未記入: 3D view/gizmoのプリセットがカメラ状態を増殖させる は Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125) で 同じcamera/transform結果を操作する に到達する。Front/Back/Custom Viewと個別gizmo起動 は独立実装しない	next/DECISIONS.md:123-125	構造吸収から導出
117	構造吸収	absorbed	Custom View 2	カスタム視点2	3D view/gizmoのプリセットがカメラ状態を増殖させる	B17	既存構造	Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125)	不要	独立したowner・状態・検収を増やさない	因果未記入: 3D view/gizmoのプリセットがカメラ状態を増殖させる は Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125) で 同じcamera/transform結果を操作する に到達する。Front/Back/Custom Viewと個別gizmo起動 は独立実装しない	next/DECISIONS.md:123-125	構造吸収から導出
118	構造吸収	absorbed	Custom View 3	カスタム視点3	3D view/gizmoのプリセットがカメラ状態を増殖させる	B17	既存構造	Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125)	不要	独立したowner・状態・検収を増やさない	因果未記入: 3D view/gizmoのプリセットがカメラ状態を増殖させる は Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125) で 同じcamera/transform結果を操作する に到達する。Front/Back/Custom Viewと個別gizmo起動 は独立実装しない	next/DECISIONS.md:123-125	構造吸収から導出
119	構造吸収	absorbed	Front	正面視点	3D view/gizmoのプリセットがカメラ状態を増殖させる	B17	既存構造	Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125)	不要	独立したowner・状態・検収を増やさない	因果未記入: 3D view/gizmoのプリセットがカメラ状態を増殖させる は Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125) で 同じcamera/transform結果を操作する に到達する。Front/Back/Custom Viewと個別gizmo起動 は独立実装しない	next/DECISIONS.md:123-125	構造吸収から導出
120	構造吸収	absorbed	Left	左視点	3D view/gizmoのプリセットがカメラ状態を増殖させる	B17	既存構造	Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125)	不要	独立したowner・状態・検収を増やさない	因果未記入: 3D view/gizmoのプリセットがカメラ状態を増殖させる は Composition.camera+既存property/Stage gizmo(next/DECISIONS.md:123-125) で 同じcamera/transform結果を操作する に到達する。Front/Back/Custom Viewと個別gizmo起動 は独立実装しない	next/DECISIONS.md:123-125	構造吸収から導出
121	不採用	out-of-domain?	Link Focus Distance to Layer	レイヤーにフォーカス距離をリンク	レイヤーにフォーカス距離をリンク		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
122	不採用	out-of-domain?	Link Focus Distance to Point of Interest	注視点にフォーカス距離をリンク	注視点にフォーカス距離をリンク		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
123	構造吸収	absorbed	Maximize/Restore Frame	フレームの最大化/復帰	pane/workspaceの表示差分が製品固有の第二状態になる	B17	既存構造	固定pane構造(next/shell/motolii-shell/src/pane_layout.rs:109-124)	不要	独立したowner・状態・検収を増やさない	因果未記入: pane/workspaceの表示差分が製品固有の第二状態になる は 固定pane構造(next/shell/motolii-shell/src/pane_layout.rs:109-124) で Browser/Stage/Inspector/Timelineの同じ4役割で制作する に到達する。active panel/workspace preset/page/maximize/dockの専用粒 は独立実装しない	next/shell/motolii-shell/src/pane_layout.rs:109-124	構造吸収から導出
124	拡張	extension	Move camera to look at selected 3D layers	選択3Dレイヤーを見るようカメラ移動	選択3Dレイヤーを見るようカメラ移動	B17	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
125	不採用		New camera	新規カメラ	新規カメラ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
126	不採用		New light	新規ライト	新規ライト		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
