map_id	technical_route	technical_delegate	scratch_policy	scratch_boundary	judgment	evidence
478	既存構造+先例	PropertyId/KeyframeTrack;Inspector provider catalog;Lottie	抑制	shortcutは既存keyframe intentの別入口だけ	静的keyframeのshortcutは既存track経路の別入口に留める	next/DECISIONS.md:72
507	既存構造+先例	PropertyId/KeyframeTrack;clipboard payload;Lottie	抑制	既存keyframe payloadとtrack更新だけ	逆順pasteは既存keyframe payloadの変換に留め、別の時間モデルを作らない	next/DECISIONS.md:72
606	既存構造+外部依存+上流	Document/Asset;filesystem;FFmpeg	抑制	file dialog/default設定の薄い結線だけ	Importは既存Asset admissionと外部filesystemへ委託し、読み込み台帳を二重化しない	next/DECISIONS.md:112
614	既存構造+外部依存+上流	Document/Asset;filesystem;FFmpeg	抑制	reloadはsource fingerprintと既存Asset更新だけ	素材再読み込みは既存source/Asset経路へ預け、decoderやcacheを新設しない	next/DECISIONS.md:112
616	既存構造+外部依存+上流	Document/Asset;filesystem;FFmpeg	抑制	selected Assetの差替えadapterだけ	選択素材の置換はSetSource/Asset経路に委託し、独自replace stateを作らない	next/DECISIONS.md:103
618	既存構造+外部依存+上流	Document/Asset;filesystem;FFmpeg	抑制	selected layerのSetSource結線だけ	layer sourceの置換は既存field単位の書き口へ委託する	next/DECISIONS.md:103
658	既存構造+上流	Document/Composition;DocumentIO/.rrd	抑制	SetCompositionのread-modify-writeだけ	Composition Settingsは既存Compositionと保存形式へ委託し、設定専用の正本を作らない	next/DECISIONS.md:17
684	既存構造+上流	Document/Composition;DocumentIO/.rrd	抑制	新規Compositionの既存admit経路だけ	New Compositionは既存Document/Composition admissionへ預け、別project modelを作らない	next/DECISIONS.md:17
728	既存構造+先例	Composition:markers;Document::SetMarkers;Lottie markers	抑制	markers componentと既存marker operationだけ	MarkerはLottieの意味と既存SetMarkersへ接続し、pane独自のmarker storeを持たない	next/core/motolii-store/src/marker.rs:3
738	既存構造+先例	Composition:markers;Document::SetMarkers;Lottie markers	抑制	既存marker operationの編集adapterだけ	Marker編集は既存markers componentのread-modify-writeへ委託する	next/core/motolii-store/src/document.rs:191
739	既存構造+先例	Composition:markers;Document::SetMarkers;Lottie markers	抑制	shortcutは既存marker operationの別入口だけ	Marker shortcutは意味を増やさず既存marker operationへ委託する	next/shell/motolii-shell/src/input.rs:397
837	既存構造+先例	PropertyId/KeyframeTrack;LayerTiming;Lottie/AE	抑制	TIME_REMAP trackのUI adapterだけ	Time Remapは既存PropertyId/trackへ委託し、別のretime mechanismを作らない	next/DECISIONS.md:112
879	既存構造+上流	Engine::render_frame;Compositor;re_renderer	抑制	preview inputと既存render入口の結線だけ	Video previewはEngine::render_frameとCompositorへ委託し、preview専用の描画真実を作らない	next/shell/motolii-shell/src/render.rs:232
960	既存構造+上流	Engine::render_frame;Compositor;re_renderer	抑制	start/stop controlは既存playback/sessionへ接続	Preview開始停止は既存render/playback経路へ委託し、別preview rendererを作らない	next/shell/motolii-shell/src/render.rs:236
1088	既存構造+先例	Session;Timeline projection;AE/Premiere	抑制	既存playhead/navigation projectionだけ	Next Clip/Editは既存SessionとTimeline projectionへ委託し、navigation専用時間正本を作らない	next/reference/timeline-grammar.md:60
1089	既存構造+先例	Session;Timeline projection;AE/Premiere	抑制	既存playhead/navigation projectionだけ	Next Editは既存playheadとedit point projectionの別入口に留める	next/reference/timeline-grammar.md:60
1108	既存構造+先例	Session;Timeline projection;AE/Premiere	抑制	既存playhead/navigation projectionだけ	Previous Clip/Editは既存SessionとTimeline projectionへ委託する	next/reference/timeline-grammar.md:60
1109	既存構造+先例	Session;Timeline projection;AE/Premiere	抑制	既存playhead/navigation projectionだけ	Previous Editは既存playheadとedit point projectionの別入口に留める	next/reference/timeline-grammar.md:60
1232	既存構造+上流	Document;DocumentIO/.rrd;filesystem	抑制	closeは既存save/dirty確認とDocumentIOだけ	Close Projectは既存Document lifecycleと保存形式へ委託し、project stateを二重化しない	next/DECISIONS.md:17
1238	既存構造+上流	Document;DocumentIO/.rrd;filesystem	抑制	newは既存Document/Composition admissionだけ	New Projectは既存Document lifecycleへ預け、別project graphを作らない	next/DECISIONS.md:17
1243	既存構造+上流	Document;DocumentIO/.rrd;filesystem	抑制	revertは既存persist/load経路だけ	Revertは保存形式とDocumentIOへ委託し、別undo/revert stackを作らない	next/DECISIONS.md:17
1315	既存構造+先例	Document/Composition;Timeline projection;AE/Premiere	抑制	既存Composition admissionとtimeline viewだけ	新規Timeline/Compositionは既存Document ownerへ接続し、pane独自のcompositionを作らない	next/DECISIONS.md:113
1327	既存構造+先例	Document/Composition;Timeline projection;AE/Premiere	抑制	既存Composition closeとSession切替だけ	Timelineを閉じる操作は既存Document/Session経路へ委託する	next/DECISIONS.md:113
1331	既存構造+先例	Document tracks;Timeline projection;AE/Premiere	抑制	既存track enabled fieldの更新だけ	track enableは既存Documentの属性とTimeline投影へ接続し、専用track modeを持たない	next/DECISIONS.md:112
1340	既存構造+先例	Document tracks;Timeline projection;AE/Premiere	抑制	既存track lock fieldの更新だけ	track lockは既存Documentの属性とTimeline投影へ接続し、専用lock storeを持たない	next/DECISIONS.md:112
1368	既存構造+先例	Timeline projection;AE/Premiere;existing snap helpers	抑制	snap calculationは既存projection/helperへ接続	Track Magnetは時間編集の補助であり、別の時間正本を作らず既存snap経路へ委託する	next/reference/timeline-grammar.md:60
