id	layer	contract	external_basis	convergence	core_status	makepad_status	overall	evidence	acceptance
TUX-15	zoom	zoom中心は一貫したanchorを保つ	AEはcursor/center選択可; Resolveはplayhead中心	HOLD	PASS	PASS	HOLD	next/probes/r7-makepad-panel/src/timeline_surface.rs:117	採用anchor上のframeがzoom前後で同じscreen xに残る
TUX-16	zoom	表示尺に応じてrulerのminor/major tickを刻み直す	AE/Resolve zoom descriptions	GREEN	PASS	PASS	PASS	next/probes/r7-makepad-panel/src/timeline_surface.rs:135; next/probes/r7-makepad-panel/src/timeline_surface.rs:889	十分なzoom差でtick stepが変わり絶対frame位相は維持される
TUX-17	scroll	通常wheelはscroll、修飾wheelをtime zoomとして競合させない	AE Option-wheel zoom and Shift-wheel horizontal scroll; Resolve Option-wheel zoom	GREEN	PASS	FAIL	FAIL	next/probes/r7-makepad-panel/src/timeline_surface.rs:797	modifier無しwheelでzoomせず、採用modifier時だけtime spanが変わる
TUX-18	selection	click単独選択・Cmd toggle・Shift rangeをdrag開始と矛盾なく処理する	Premiere selection tool; common editor selection vocabulary	GREEN	PASS	FAIL	FAIL	next/ui/motolii-timeline-pane/src/key_rows.rs:285; next/probes/r7-makepad-panel/src/timeline_surface.rs:169	lane/bar/keyのclickと修飾clickが同じ選択規則を使う
TUX-19	target	小さい視覚記号でも十分なhit領域または間隔・代替入口を持つ	WCAG 2.5.8 Target Size Minimum	GREEN	PARTIAL	FAIL	FAIL	next/ui/motolii-timeline-pane/src/key_rows.rs:270; next/probes/r7-makepad-panel/src/timeline_surface.rs:525	24px相当の領域または同等の非小型targetで全操作が可能
TUX-20	alternative	drag専用操作にclick操作またはkeyboard等の代替を用意する	WCAG 2.5.7 Dragging Movements	GREEN	PASS	FAIL	FAIL	next/shell/motolii-shell/src/input.rs:408; next/probes/r7-makepad-panel/src/timeline_surface.rs:759	pointer drag無しでlane reorder・精密移動・trimへ到達できる
TUX-21	bounds	comp境界・最低1frame・lane端を越える入力は決定的にclampする	Premiere limited trim feedback; editor invariant	GREEN	PASS	PASS	PASS	next/ui/motolii-timeline-pane/src/clip_gesture.rs:67; next/probes/r7-makepad-panel/src/timeline_surface.rs:101	極端なpointer位置でも範囲外値やpanicを出さない
TUX-22	identity	gesture中の対象identityとoriginを固定しprojection更新で別対象へ飛ばさない	W3C pointer capture target override; preview/commit invariant	GREEN	PASS	PASS	PASS	next/ui/motolii-timeline-pane/src/write/clip_drag.rs:70; next/probes/r7-makepad-panel/src/timeline_surface.rs:152	途中でprojection順が変わってもdown時のIDだけがcommit対象になる
TUX-23	trackpad-scroll	二本指移動はpan/scrollとして扱いpinch zoomやwheel zoomと混同しない	Apple Mac trackpad gestures; AE/Resolve scroll vocabulary	GREEN	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/timeline_surface.rs:204; next/probes/r7-makepad-panel/src/timeline_surface.rs:946	修飾無し二本指移動で表示範囲が移動しtime spanは不変
TUX-24	trackpad-pinch	pinchを連続的なtime zoomとして扱いgesture anchorを維持する	Apple Mac trackpad pinch to zoom	GREEN	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/gesture_input.rs:35; next/probes/r7-makepad-panel/src/timeline_surface.rs:637; next/probes/r7-makepad-panel/Cargo.toml:14	pinch中にx方向time spanだけが連続変化し開始anchorのframeが同じscreen xに残る
TUX-25	trackpad-phase	Began・Changed・Endedを1gestureとして管理しphaseを捨てない	Apple NSEvent phase; Makepad ScrollPhase	GREEN	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/timeline_surface.rs:204	1系列につきbeginとendが各1回で同一stateに入り最終deltaも欠落しない
TUX-26	trackpad-momentum	指を離した後のOS momentumを同じscroll ownerへ配送し別動詞へ再解釈しない	Apple NSEvent momentumPhase; Makepad ScrollPhase::Momentum	GREEN	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/timeline_surface.rs:209; next/probes/r7-makepad-panel/src/timeline_surface.rs:1105	Ended後のMomentum系列も同じaxis/ownerだけを動かしMomentumEndedで終了する
TUX-27	trackpad-catch	新しいtouchまたは新gestureで進行中のmomentumを停止して操作を奪い直せる	Makepad ScrollPhase::Touched and ScrollBar momentum handling	GREEN	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/timeline_surface.rs:210; next/probes/r7-makepad-panel/src/timeline_surface.rs:1105	慣性中のtouch後は旧系列による移動が止まり新系列だけが反映される
TUX-28	trackpad-axis	斜め二本指入力は意図が確定するまで保留しdominant axisをgesture中固定する	Apple precise two-axis scrolling; axis arbitration invariant	ORACLE_GAP	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/timeline_surface.rs:193; next/probes/r7-makepad-panel/src/timeline_surface.rs:1062	小さな斜めぶれでaxisが往復せずbegin後に決めたaxis ownerがendまで変わらない
TUX-29	trackpad-direction	Natural scrolling等のOS方向設定を尊重しアプリ側で再反転しない	Apple Trackpad settings Natural scrolling	GREEN	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/timeline_surface.rs:239; next/probes/r7-makepad-panel/src/timeline_surface.rs:571	OS設定を切り替えた実機入力がplatform提供方向どおり表示へ反映され二重反転しない
TUX-30	trackpad-delta	精密なtrackpad deltaと段階的wheel deltaを識別して同じ感度式へ無条件に投入しない	Apple precise scrolling deltas; Makepad ScrollEvent is_mouse/phase	GREEN	PARTIAL	PARTIAL	PARTIAL	next/probes/r7-makepad-panel/src/timeline_surface.rs:245; next/probes/r7-makepad-panel/src/timeline_surface.rs:561	同じ物理意図のwheelとtrackpadで極端なzoom差がなく微小trackpad入力が量子化されない
