# Browser-behavior acceptance oracle for every product panel in docked and detached windows.
# status: PASS = the pinned HTML/Blitz path is sufficient and present; ADAPTER = Motolii must map browser behavior to product meaning; N_A = the operation has no product meaning (reason is mandatory).
# implementation: CLOSED_TEST = exercised by a focused test; CLOSED_STATIC = present in the current source path; PARTIAL = only part of the acceptance exists; REQUIRED = no complete implementation is present; NONE_BY_DESIGN = deliberately absent.
# ADAPTER is a responsibility classification, not a completion claim; only CLOSED_TEST or CLOSED_STATIC is closed. For an N_A row, REQUIRED means the key/event still needs a scope guard so it cannot leak into another panel's meaning.
# HTML and Pointer Events define the browser/platform baseline; APG defines authored composite-widget keyboard and accessibility behavior; PRODUCT defines the editor-specific commit and Undo meaning.
# sources: APG_GRID=https://www.w3.org/WAI/ARIA/apg/patterns/grid/; APG_TABS=https://www.w3.org/WAI/ARIA/apg/patterns/tabs/; APG_MENU=https://www.w3.org/WAI/ARIA/apg/patterns/menubar/; APG_KEYS=https://www.w3.org/WAI/ARIA/apg/practices/keyboard-interface/; POINTER=https://www.w3.org/TR/pointerevents/; HTML=https://html.spec.whatwg.org/multipage/interaction.html; REDUCED=https://www.w3.org/WAI/WCAG21/Techniques/css/C39.html; PRODUCT=docs/ui-interaction-language.md
# reconciled: 2026-09-05; implementations share panel_body across docked/detached roots; CLOSED_TEST may name one representative shared-path regression.
id	surface	window_mode	interaction	status	implementation	oracle	acceptance	evidence_or_gap
BO-0011	Media	docked	double_click_activation	ADAPTER	CLOSED_STATIC	PRODUCT	Double-click first makes the card active and then performs the same one-shot commit as Enter.	ui/browser.rs all four card families select first and share typed one-shot commit functions
BO-0012	Media	docked	arrow_navigation	ADAPTER	CLOSED_TEST	APG_GRID	Arrows move active card focus in stable visible order, update selection, and reveal the new card without committing.	gui Browser grid arrow test plus semantic_menu rendered-geometry neighbor test
BO-0013	Media	docked	home_end	ADAPTER	CLOSED_TEST	APG_GRID	Home and End focus/select the first and last visible result without committing and reveal it.	browser_selection Home End Page tests and FocusableItems reveal path
BO-0014	Media	docked	tab_forward	PASS	CLOSED_TEST	HTML+APG_KEYS	Tab order moves to the next visible enabled focusable control; the active dock tab is one roving stop and hidden content is skipped.	pinned Blitz sequential focus navigation and real semantic controls
BO-0015	Media	docked	shift_tab	PASS	CLOSED_TEST	HTML+APG_KEYS	Tab order moves to the previous visible enabled focusable control; the active dock tab is one roving stop and hidden content is skipped.	pinned Blitz sequential focus navigation; gui shift_tab_goes_back test
BO-0016	Media	docked	wheel_scroll	PASS	CLOSED_STATIC	HTML	Wheel and trackpad scroll the nearest Browser results scroller; nested scrolling chains only at its boundary.	ui/styles.css .bresults overflow-y:auto and pinned Blitz scroll container
BO-0017	Media	docked	keyboard_scroll	ADAPTER	CLOSED_TEST	APG_GRID	PageUp/PageDown and arrow focus movement reveal results; wheel-independent keyboard reachability remains available.	browser_selection Home End Page tests and FocusableItems reveal path
BO-0018	Media	docked	focus_reveal	ADAPTER	CLOSED_TEST	APG_GRID+APG_KEYS	Every keyboard-selected card receives DOM focus and scrolls to nearest visible position.	gui Browser focus/search return test and semantic_menu focus_and_reveal
BO-0019	Media	docked	outside_click	N_A	NONE_BY_DESIGN	PRODUCT	Browser card selection persists when another control is clicked; there is no modal Browser overlay to dismiss.	Browser card selection persists when another control is clicked; there is no modal Browser overlay to dismiss.
BO-0020	Media	docked	outside_release	ADAPTER	CLOSED_TEST	POINTER+HTML	A discrete card activates only when the same primary pointer presses and releases the same enabled card; leaving cancels activation.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0021	Media	docked	pointer_cancel	ADAPTER	CLOSED_TEST	POINTER	pointercancel clears an armed card press without click, commit, selection mutation, or stuck active styling.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0022	Media	docked	focus_loss	ADAPTER	CLOSED_STATIC	APG_KEYS+PRODUCT	Window focus loss clears held modifier state and transient presses while preserving stable Browser selection.	ui/host.rs focus_lost plus keymap::forget_modifiers; Session Browser selection persists
BO-0023	Media	docked	multi_pointer_identity	ADAPTER	CLOSED_TEST	POINTER	Each direct or discrete interaction is owned by one pointerId and isPrimary; other pointers cannot move terminate or synthesize its click.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0024	Media	docked	click_target_integrity	ADAPTER	CLOSED_TEST	POINTER+HTML	A click is dispatched only when a valid primary down/up sequence belongs to the same enabled activation target.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0025	Media	docked	cmd_undo_redo	ADAPTER	CLOSED_TEST	PRODUCT	Cmd/Ctrl+Z and Shift+Cmd/Ctrl+Z cancel transient preview first and move exactly one Document history step; a text editor owns its local editing history.	ui/commands.rs preflight and gui repeated undo/redo tests
BO-0026	Media	docked	cmd_duplicate	N_A	NONE_BY_DESIGN	PRODUCT	Media catalog candidates are references or built-ins; Cmd/Ctrl+D must be consumed locally so it cannot duplicate a hidden artwork selection.	browser_key consumes unsupported catalog Duplicate locally and reports it without touching artwork
BO-0027	Media	docked	cmd_cut_copy_paste	N_A	NONE_BY_DESIGN	HTML+PRODUCT	Text search uses native Cut Copy Paste. Catalog cards have no document-copy meaning, so Cmd/Ctrl+C X V are consumed locally and never act on hidden artwork.	Native search input owns text clipboard; catalog focus consumes C/X/V locally with an unavailable notice so hidden artwork cannot change
BO-0028	Media	docked	cmd_find	ADAPTER	CLOSED_TEST	HTML+PRODUCT	Cmd/Ctrl+F focuses the shared Browser search field; Escape returns to results without clearing artwork.	gui Browser Cmd+F, typing, Escape and result-focus restoration test
BO-0029	Media	docked	resize_reflow	ADAPTER	CLOSED_STATIC	HTML+REDUCED	Cards reflow at actual panel width; a short opacity/scale cue runs on resize and splitter movement, and reduces to zero motion.	ui/host.rs wake_all plus ui/styles.css browser-grid-reflow
BO-0030	Media	docked	reduced_motion	ADAPTER	CLOSED_TEST	REDUCED	The platform reduce-motion preference sets all decorative UI motion durations to zero while playback scrub and direct data motion remain functional.	ui/tokens.rs system_prefers_reduced_motion and token tests; applied in main and detached roots
BO-0031	Media	docked	focus_visible	ADAPTER	CLOSED_STATIC	APG_KEYS	Every keyboard-focusable control has a visible focus indicator; :focus fallback covers pinned Blitz lacking :focus-visible.	ui/styles.css focus-visible plus focus fallback selectors
BO-0032	Media	docked	ax_semantics	ADAPTER	CLOSED_STATIC	APG_GRID	Results expose one named grid/list composite, one roving tab stop, item position, active focus and selected state to assistive technology.	named role=grid/gridcell, aria-selected, aria-posinset/setsize and one roving tabindex are emitted for every Browser face
BO-0033	Media	docked	ax_actions	ADAPTER	CLOSED_TEST	APG_KEYS	AccessKit Click Focus and Blur invoke the same semantic button and selection paths as keyboard activation.	keys::act routes AccessKit actions through SemanticButton pointer/keyboard paths; access mapping and GUI proxy tests
BO-0034	Media	docked	context_menu	ADAPTER	CLOSED_TEST	APG_MENU+PRODUCT	Secondary click targets the card under the pointer and offers only valid asset actions while preserving multi-selection.	gui media secondary-click preserves multi-selection and opens typed valid-asset actions
BO-0035	Media	detached	window_state_identity	ADAPTER	CLOSED_STATIC	PRODUCT	The same Document selection and panel semantic state survive dock detach reattach and sibling-window edits.	ui/session.rs Session plus ui/app.rs panel_body and wire_windows
BO-0036	Media	detached	single_click_selection	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	A primary click selects only the card and previews it; it does not commit artwork.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0037	Media	detached	cmd_click_toggle	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Primary-modifier click toggles one visible card without discarding the rest of this Browser scope.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0038	Media	detached	shift_click_range	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Shift-click replaces with the contiguous anchor-to-target range; primary-modifier plus Shift adds that range.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0039	Media	detached	shift_arrow_range	ADAPTER	CLOSED_TEST	APG_GRID	Shift plus an arrow moves the active end and replaces the range between it and the stable anchor.	browser_selection stable-anchor tests plus semantic_menu spatial-focus resize test
BO-0040	Media	detached	marquee_range	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	A visible Select mode may drag a rectangle over result cards; plain replaces and primary-modifier adds.	ui/browser.rs pointer-owned marquee adapter plus browser_selection replace/add test
BO-0041	Media	detached	cmd_a	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Cmd/Ctrl+A is consumed by this Browser scope: all visible filtered cards for multi-select catalogs, or the active/first card for single-choice catalogs.	gui browser_keyboard_navigation_search_and_local_shortcuts_stay_in_the_active_face
BO-0042	Media	detached	escape	ADAPTER	CLOSED_TEST	APG_KEYS+PRODUCT	Escape clears only the active Browser scope after closing any inner editor or popup; it must not clear artwork first.	gui Browser search Escape restores result focus; result Escape clears only Browser scope
BO-0043	Media	detached	delete	ADAPTER	CLOSED_STATIC	APG_GRID+PRODUCT	Delete removes every selected unused asset atomically and reports used assets without deleting artwork.	ui/browser.rs delete_selected_media removes selected unused assets in one apply_all and reports retained in-use assets
BO-0044	Media	detached	enter_activation	ADAPTER	CLOSED_STATIC	APG_GRID+PRODUCT	Enter commits the active card once; Media places, Effects attaches the selected set without duplicates, Create creates centrally, and Colors applies to the focused color target.	ui/browser.rs all four card families select first and share typed one-shot commit functions
BO-0045	Media	detached	double_click_activation	ADAPTER	CLOSED_STATIC	PRODUCT	Double-click first makes the card active and then performs the same one-shot commit as Enter.	ui/browser.rs all four card families select first and share typed one-shot commit functions
BO-0046	Media	detached	arrow_navigation	ADAPTER	CLOSED_TEST	APG_GRID	Arrows move active card focus in stable visible order, update selection, and reveal the new card without committing.	gui Browser grid arrow test plus semantic_menu rendered-geometry neighbor test
BO-0047	Media	detached	home_end	ADAPTER	CLOSED_TEST	APG_GRID	Home and End focus/select the first and last visible result without committing and reveal it.	browser_selection Home End Page tests and FocusableItems reveal path
BO-0048	Media	detached	tab_forward	PASS	CLOSED_STATIC	HTML+APG_KEYS	Tab order moves to the next visible enabled focusable control in the single-panel window; hidden content and the absent dock strip are skipped.	pinned Blitz sequential focus navigation and real semantic controls
BO-0049	Media	detached	shift_tab	PASS	CLOSED_STATIC	HTML+APG_KEYS	Tab order moves to the previous visible enabled focusable control in the single-panel window; hidden content and the absent dock strip are skipped.	pinned Blitz sequential focus navigation; gui shift_tab_goes_back test
BO-0050	Media	detached	wheel_scroll	PASS	CLOSED_STATIC	HTML	Wheel and trackpad scroll the nearest Browser results scroller; nested scrolling chains only at its boundary.	ui/styles.css .bresults overflow-y:auto and pinned Blitz scroll container
BO-0051	Media	detached	keyboard_scroll	ADAPTER	CLOSED_TEST	APG_GRID	PageUp/PageDown and arrow focus movement reveal results; wheel-independent keyboard reachability remains available.	browser_selection Home End Page tests and FocusableItems reveal path
BO-0052	Media	detached	focus_reveal	ADAPTER	CLOSED_TEST	APG_GRID+APG_KEYS	Every keyboard-selected card receives DOM focus and scrolls to nearest visible position.	gui Browser focus/search return test and semantic_menu focus_and_reveal
BO-0053	Media	detached	outside_click	N_A	NONE_BY_DESIGN	PRODUCT	Browser card selection persists when another control is clicked; there is no modal Browser overlay to dismiss.	Browser card selection persists when another control is clicked; there is no modal Browser overlay to dismiss.
BO-0054	Media	detached	outside_release	ADAPTER	CLOSED_TEST	POINTER+HTML	A discrete card activates only when the same primary pointer presses and releases the same enabled card; leaving cancels activation.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0055	Media	detached	pointer_cancel	ADAPTER	CLOSED_TEST	POINTER	pointercancel clears an armed card press without click, commit, selection mutation, or stuck active styling.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0056	Media	detached	focus_loss	ADAPTER	CLOSED_STATIC	APG_KEYS+PRODUCT	Window focus loss clears held modifier state and transient presses while preserving stable Browser selection.	ui/host.rs focus_lost plus keymap::forget_modifiers; Session Browser selection persists
BO-0057	Media	detached	multi_pointer_identity	ADAPTER	CLOSED_TEST	POINTER	Each direct or discrete interaction is owned by one pointerId and isPrimary; other pointers cannot move terminate or synthesize its click.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0058	Media	detached	click_target_integrity	ADAPTER	CLOSED_TEST	POINTER+HTML	A click is dispatched only when a valid primary down/up sequence belongs to the same enabled activation target.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0059	Media	detached	cmd_undo_redo	ADAPTER	CLOSED_TEST	PRODUCT	Cmd/Ctrl+Z and Shift+Cmd/Ctrl+Z cancel transient preview first and move exactly one Document history step; a text editor owns its local editing history.	ui/commands.rs preflight and gui repeated undo/redo tests
BO-0060	Media	detached	cmd_duplicate	N_A	NONE_BY_DESIGN	PRODUCT	Media catalog candidates are references or built-ins; Cmd/Ctrl+D must be consumed locally so it cannot duplicate a hidden artwork selection.	browser_key consumes unsupported catalog Duplicate locally and reports it without touching artwork
BO-0061	Media	detached	cmd_cut_copy_paste	N_A	NONE_BY_DESIGN	HTML+PRODUCT	Text search uses native Cut Copy Paste. Catalog cards have no document-copy meaning, so Cmd/Ctrl+C X V are consumed locally and never act on hidden artwork.	Native search input owns text clipboard; catalog focus consumes C/X/V locally with an unavailable notice so hidden artwork cannot change
BO-0062	Media	detached	cmd_find	ADAPTER	CLOSED_TEST	HTML+PRODUCT	Cmd/Ctrl+F focuses the shared Browser search field; Escape returns to results without clearing artwork.	gui Browser Cmd+F, typing, Escape and result-focus restoration test
BO-0063	Media	detached	resize_reflow	ADAPTER	CLOSED_STATIC	HTML+REDUCED	Cards reflow at actual panel width; a short opacity/scale cue runs on resize and splitter movement, and reduces to zero motion.	ui/host.rs wake_all plus ui/styles.css browser-grid-reflow
BO-0064	Media	detached	reduced_motion	ADAPTER	CLOSED_TEST	REDUCED	The platform reduce-motion preference sets all decorative UI motion durations to zero while playback scrub and direct data motion remain functional.	ui/tokens.rs system_prefers_reduced_motion and token tests; applied in main and detached roots
BO-0065	Media	detached	focus_visible	ADAPTER	CLOSED_STATIC	APG_KEYS	Every keyboard-focusable control has a visible focus indicator; :focus fallback covers pinned Blitz lacking :focus-visible.	ui/styles.css focus-visible plus focus fallback selectors
BO-0066	Media	detached	ax_semantics	ADAPTER	CLOSED_STATIC	APG_GRID	Results expose one named grid/list composite, one roving tab stop, item position, active focus and selected state to assistive technology.	named role=grid/gridcell, aria-selected, aria-posinset/setsize and one roving tabindex are emitted for every Browser face
BO-0067	Media	detached	ax_actions	ADAPTER	CLOSED_TEST	APG_KEYS	AccessKit Click Focus and Blur invoke the same semantic button and selection paths as keyboard activation.	keys::act routes AccessKit actions through SemanticButton pointer/keyboard paths; access mapping and GUI proxy tests
BO-0068	Media	detached	context_menu	ADAPTER	CLOSED_TEST	APG_MENU+PRODUCT	Secondary click targets the card under the pointer and offers only valid asset actions while preserving multi-selection.	gui media secondary-click preserves multi-selection and opens typed valid-asset actions
BO-0069	Effects	docked	window_state_identity	ADAPTER	CLOSED_STATIC	PRODUCT	The same Document selection and panel semantic state survive dock detach reattach and sibling-window edits.	ui/session.rs Session plus ui/app.rs panel_body and wire_windows
BO-0070	Effects	docked	single_click_selection	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	A primary click selects only the card and previews it; it does not commit artwork.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0071	Effects	docked	cmd_click_toggle	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Primary-modifier click toggles one visible card without discarding the rest of this Browser scope.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0072	Effects	docked	shift_click_range	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Shift-click replaces with the contiguous anchor-to-target range; primary-modifier plus Shift adds that range.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0073	Effects	docked	shift_arrow_range	ADAPTER	CLOSED_TEST	APG_GRID	Shift plus an arrow moves the active end and replaces the range between it and the stable anchor.	browser_selection stable-anchor tests plus semantic_menu spatial-focus resize test
BO-0074	Effects	docked	marquee_range	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	A visible Select mode may drag a rectangle over result cards; plain replaces and primary-modifier adds.	ui/browser.rs pointer-owned marquee adapter plus browser_selection replace/add test
BO-0075	Effects	docked	cmd_a	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Cmd/Ctrl+A is consumed by this Browser scope: all visible filtered cards for multi-select catalogs, or the active/first card for single-choice catalogs.	gui browser_keyboard_navigation_search_and_local_shortcuts_stay_in_the_active_face
BO-0076	Effects	docked	escape	ADAPTER	CLOSED_TEST	APG_KEYS+PRODUCT	Escape clears only the active Browser scope after closing any inner editor or popup; it must not clear artwork first.	gui Browser search Escape restores result focus; result Escape clears only Browser scope
BO-0077	Effects	docked	delete	N_A	CLOSED_STATIC	APG_GRID+PRODUCT	Effects catalog entries are built-in choices rather than user-owned records; Delete must be consumed locally and leave artwork unchanged.	Effects catalog entries are built-in choices rather than user-owned records; Delete must be consumed locally and leave artwork unchanged.
BO-0078	Effects	docked	enter_activation	ADAPTER	CLOSED_STATIC	APG_GRID+PRODUCT	Enter commits the active card once; Media places, Effects attaches the selected set without duplicates, Create creates centrally, and Colors applies to the focused color target.	ui/browser.rs all four card families select first and share typed one-shot commit functions
BO-0079	Effects	docked	double_click_activation	ADAPTER	CLOSED_STATIC	PRODUCT	Double-click first makes the card active and then performs the same one-shot commit as Enter.	ui/browser.rs all four card families select first and share typed one-shot commit functions
BO-0080	Effects	docked	arrow_navigation	ADAPTER	CLOSED_TEST	APG_GRID	Arrows move active card focus in stable visible order, update selection, and reveal the new card without committing.	gui Browser grid arrow test plus semantic_menu rendered-geometry neighbor test
BO-0081	Effects	docked	home_end	ADAPTER	CLOSED_TEST	APG_GRID	Home and End focus/select the first and last visible result without committing and reveal it.	browser_selection Home End Page tests and FocusableItems reveal path
BO-0082	Effects	docked	tab_forward	PASS	CLOSED_TEST	HTML+APG_KEYS	Tab order moves to the next visible enabled focusable control; the active dock tab is one roving stop and hidden content is skipped.	pinned Blitz sequential focus navigation and real semantic controls
BO-0083	Effects	docked	shift_tab	PASS	CLOSED_TEST	HTML+APG_KEYS	Tab order moves to the previous visible enabled focusable control; the active dock tab is one roving stop and hidden content is skipped.	pinned Blitz sequential focus navigation; gui shift_tab_goes_back test
BO-0084	Effects	docked	wheel_scroll	PASS	CLOSED_STATIC	HTML	Wheel and trackpad scroll the nearest Browser results scroller; nested scrolling chains only at its boundary.	ui/styles.css .bresults overflow-y:auto and pinned Blitz scroll container
BO-0085	Effects	docked	keyboard_scroll	ADAPTER	CLOSED_TEST	APG_GRID	PageUp/PageDown and arrow focus movement reveal results; wheel-independent keyboard reachability remains available.	browser_selection Home End Page tests and FocusableItems reveal path
BO-0086	Effects	docked	focus_reveal	ADAPTER	CLOSED_TEST	APG_GRID+APG_KEYS	Every keyboard-selected card receives DOM focus and scrolls to nearest visible position.	gui Browser focus/search return test and semantic_menu focus_and_reveal
BO-0087	Effects	docked	outside_click	N_A	NONE_BY_DESIGN	PRODUCT	Browser card selection persists when another control is clicked; there is no modal Browser overlay to dismiss.	Browser card selection persists when another control is clicked; there is no modal Browser overlay to dismiss.
BO-0088	Effects	docked	outside_release	ADAPTER	CLOSED_TEST	POINTER+HTML	A discrete card activates only when the same primary pointer presses and releases the same enabled card; leaving cancels activation.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0089	Effects	docked	pointer_cancel	ADAPTER	CLOSED_TEST	POINTER	pointercancel clears an armed card press without click, commit, selection mutation, or stuck active styling.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0090	Effects	docked	focus_loss	ADAPTER	CLOSED_STATIC	APG_KEYS+PRODUCT	Window focus loss clears held modifier state and transient presses while preserving stable Browser selection.	ui/host.rs focus_lost plus keymap::forget_modifiers; Session Browser selection persists
BO-0091	Effects	docked	multi_pointer_identity	ADAPTER	CLOSED_TEST	POINTER	Each direct or discrete interaction is owned by one pointerId and isPrimary; other pointers cannot move terminate or synthesize its click.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0092	Effects	docked	click_target_integrity	ADAPTER	CLOSED_TEST	POINTER+HTML	A click is dispatched only when a valid primary down/up sequence belongs to the same enabled activation target.	SemanticButton owns pointer type/id and requires same primary down/up; pointercancel clears armed state; shared cross-target regression tests
BO-0093	Effects	docked	cmd_undo_redo	ADAPTER	CLOSED_TEST	PRODUCT	Cmd/Ctrl+Z and Shift+Cmd/Ctrl+Z cancel transient preview first and move exactly one Document history step; a text editor owns its local editing history.	ui/commands.rs preflight and gui repeated undo/redo tests
BO-0094	Effects	docked	cmd_duplicate	N_A	NONE_BY_DESIGN	PRODUCT	Effects catalog candidates are references or built-ins; Cmd/Ctrl+D must be consumed locally so it cannot duplicate a hidden artwork selection.	browser_key consumes unsupported catalog Duplicate locally and reports it without touching artwork
BO-0095	Effects	docked	cmd_cut_copy_paste	N_A	NONE_BY_DESIGN	HTML+PRODUCT	Text search uses native Cut Copy Paste. Catalog cards have no document-copy meaning, so Cmd/Ctrl+C X V are consumed locally and never act on hidden artwork.	Native search input owns text clipboard; catalog focus consumes C/X/V locally with an unavailable notice so hidden artwork cannot change
BO-0096	Effects	docked	cmd_find	ADAPTER	CLOSED_TEST	HTML+PRODUCT	Cmd/Ctrl+F focuses the shared Browser search field; Escape returns to results without clearing artwork.	gui Browser Cmd+F, typing, Escape and result-focus restoration test
BO-0097	Effects	docked	resize_reflow	ADAPTER	CLOSED_STATIC	HTML+REDUCED	Cards reflow at actual panel width; a short opacity/scale cue runs on resize and splitter movement, and reduces to zero motion.	ui/host.rs wake_all plus ui/styles.css browser-grid-reflow
BO-0098	Effects	docked	reduced_motion	ADAPTER	CLOSED_TEST	REDUCED	The platform reduce-motion preference sets all decorative UI motion durations to zero while playback scrub and direct data motion remain functional.	ui/tokens.rs system_prefers_reduced_motion and token tests; applied in main and detached roots
BO-0099	Effects	docked	focus_visible	ADAPTER	CLOSED_STATIC	APG_KEYS	Every keyboard-focusable control has a visible focus indicator; :focus fallback covers pinned Blitz lacking :focus-visible.	ui/styles.css focus-visible plus focus fallback selectors
BO-0100	Effects	docked	ax_semantics	ADAPTER	CLOSED_STATIC	APG_GRID	Results expose one named grid/list composite, one roving tab stop, item position, active focus and selected state to assistive technology.	named role=grid/gridcell, aria-selected, aria-posinset/setsize and one roving tabindex are emitted for every Browser face
BO-0101	Effects	docked	ax_actions	ADAPTER	CLOSED_TEST	APG_KEYS	AccessKit Click Focus and Blur invoke the same semantic button and selection paths as keyboard activation.	keys::act routes AccessKit actions through SemanticButton pointer/keyboard paths; access mapping and GUI proxy tests
BO-0102	Effects	docked	context_menu	N_A	NONE_BY_DESIGN	PRODUCT	Effects has no accepted item-specific secondary menu; its available operations remain explicit controls or editors.	Effects has no accepted item-specific secondary menu; its available operations remain explicit controls or editors.
BO-0103	Effects	detached	window_state_identity	ADAPTER	CLOSED_STATIC	PRODUCT	The same Document selection and panel semantic state survive dock detach reattach and sibling-window edits.	ui/session.rs Session plus ui/app.rs panel_body and wire_windows
BO-0104	Effects	detached	single_click_selection	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	A primary click selects only the card and previews it; it does not commit artwork.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
BO-0105	Effects	detached	cmd_click_toggle	ADAPTER	CLOSED_TEST	APG_GRID+PRODUCT	Primary-modifier click toggles one visible card without discarding the rest of this Browser scope.	ui/browser_selection.rs collection tests plus shared SemanticButton card wiring
